    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/07/17,16:57:41
MCA Data File,detectorA_Ra226 re.asc
Comment,
Date,2020/07/17,15:43:17
Live Time,4157,Real Time,4463,Preset time,99999999,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
1430,    8255
1431,    9198
1432,   10120
1433,   10595
1434,   10459
1435,   10135
1436,    9209
1437,    8207
1438,    7241
1439,    6436
1440,    6027
1441,    5509
1442,    5328
1443,    5094
1444,    5200
1445,    5319
1446,    5305
1447,    5148
1448,    5093
1449,    5166
1450,    5085
1451,    5043
1452,    5054
1453,    5121
1454,    5005
1455,    5025
1456,    5087
1457,    5035
1458,    4895
1459,    5075
1460,    5056
1461,    5095
1462,    5135
1463,    5012
1464,    4977
1465,    4941
1466,    4900
1467,    4914
1468,    4952
1469,    4965
1470,    4937
1471,    5006
1472,    4975
1473,    4959
1474,    5041
1475,    4906
1476,    5070
1477,    5002
1478,    4966
1479,    4974
1480,    4931
1481,    5001
1482,    4958
1483,    4930
1484,    5076
1485,    4993
1486,    4863
1487,    4923
1488,    4922
1489,    4838
1490,    4886
1491,    4801
1492,    4856
1493,    4888
1494,    4850
1495,    4865
1496,    4916
1497,    4889
1498,    4688
1499,    4884
1500,    4891
1501,    4885
1502,    4823
1503,    4923
1504,    4873
1505,    4795
1506,    4783
1507,    4892
1508,    4948
1509,    4872
1510,    4879
1511,    4927
1512,    4752
1513,    4870
1514,    4802
1515,    4986
1516,    4878
1517,    4798
1518,    4701
1519,    4801
1520,    4845
1521,    4787
1522,    4870
1523,    4921
1524,    4799
1525,    4931
1526,    4804
1527,    4817
1528,    4740
1529,    5016
1530,    4828
1531,    4914
1532,    4682
1533,    4783
1534,    4746
1535,    4783
1536,    4802
1537,    4735
1538,    4845
1539,    4809
1540,    4770
1541,    4645
1542,    4814
1543,    4763
1544,    4721
1545,    4842
1546,    4733
1547,    4710
1548,    4745
1549,    4735
1550,    4688
1551,    4647
1552,    4698
1553,    4693
1554,    4818
1555,    4628
1556,    4709
1557,    4793
1558,    4747
1559,    4674
1560,    4682
1561,    4792
1562,    4659
